actor_id,primaryName,birthYear,deathYear,knownForTitles
nm0002694,Leland L. Jones,1963,\N,tt4463894
nm0003028,Rodrigo Botero,\N,\N,tt4761100
nm0003832,Ingrid Schoelderle,1952,\N,tt9097694
nm0006379,Axel Melzener,1975,\N,tt5293310
nm0007664,Byron Abalos,\N,\N,tt4504044
nm0008443,Dominique Abel,\N,\N,tt8962546
nm0011104,Julian Adams,\N,\N,tt0783640
nm0011291,Adam Richards,\N,\N,tt8810866
nm0016941,Ingo Albrecht,1960,\N,tt8602664
nm0017342,Cristina Alcázar,\N,\N,tt8951078
nm0019413,Chi Ali,1976,\N,tt8955372
nm0019585,Veronica Alicino,1960,\N,tt4532038
nm0020329,Brittany Allen,1986,\N,tt1190634
nm0022894,Ed Altman,\N,\N,tt8941926
nm0030746,Alena Antalová,1972,\N,tt8724244
nm0033894,Anthony Arcure,\N,\N,tt1302006
nm0035573,John Armour,\N,\N,tt9088084
nm0044645,David Baalcke,1966,\N,tt6586090
nm0045513,Maria Bachmann,1964,\N,tt8618370
nm0049205,Éva Bakos,\N,\N,tt7757688
nm0054672,Francesco Barilli,1943,\N,tt9072468
nm0054878,Emmy Barker,\N,\N,tt7251762
nm0061272,Paul Batt,\N,\N,tt9022546
nm0061578,Dana Batulková,1958,\N,tt8724244
nm0065231,Matt Beck,\N,\N,tt7267530
nm0067804,Steven Belgard,\N,\N,tt4526862
nm0076791,Kevin Bernhardt,1961,\N,tt8883486
nm0077622,Marilou Berry,1983,\N,tt8871394
nm0079525,Kim Beuché,\N,\N,tt8055896
nm0081303,Manuela Biedermann,\N,\N,tt3512332
nm0086909,Yvetta Blanarovicová,1963,\N,tt8724244
nm0087877,Inge Blau,1958,\N,tt9249092
nm0088551,Bambi Blitz,1962,\N,tt3209066
nm0097371,Patrick Borriello,\N,\N,tt1302006
nm0100425,Bouvier,\N,\N,tt7060306
nm0109626,Bo Brinkman,1956,\N,tt8055896
nm0115341,Katerina Brozová,1968,\N,tt8608822
nm0123418,Clarissa Burt,1959,\N,tt3246874
nm0124069,Daniel Buser,\N,\N,tt5661882
nm0125487,John Buultjens,\N,\N,tt6076194
nm0127536,Olivier Cabassut,\N,\N,tt7801894
nm0130051,Federico Calisti,\N,\N,tt8743368
nm0134187,Don Cannon,\N,\N,tt5668174
nm0134196,Gerard Cannon,\N,\N,tt9042192
nm0143270,Susanne Sulby,\N,\N,tt8869662
nm0144712,Ron Castellano,\N,\N,tt1302006
nm0144830,Sergio Castellote,\N,\N,tt9058140
nm0146148,Sarah Cathie,1985,\N,tt4566758
nm0147818,Steve Cedillos,\N,\N,tt8290452
nm0149447,Amer Chadha-Patel,\N,\N,tt6139732
nm0151684,Jordyn Chang,\N,\N,tt7957314
nm0154889,Cecil Cheeka,\N,\N,tt6158358
nm0154951,Douglas Chege,\N,\N,tt5663910
nm0155196,Christopher Chen,1966,\N,tt7768346
nm0159318,Laurent Chouchan,\N,\N,tt9235038
nm0160309,Donna Christie,\N,\N,tt6156584
nm0167878,Ron Cobert,\N,\N,tt8959924
nm0170640,Kelly Cole,\N,\N,tt5968394
nm0172566,Nathan Collins,1977,\N,tt4916630
nm0173103,Pablo Colomo,\N,\N,tt8746842
nm0173543,Joseph Comar,\N,\N,tt7801894
nm0178547,Greg Cope White,\N,\N,tt5848416
nm0179366,Jérôme Corcos,\N,\N,tt9235038
nm0179648,Joseph Cordova,\N,\N,tt9024106
nm0181570,Milton Cortés,\N,\N,tt9093094
nm0182371,Larry M. Costales,\N,\N,tt6107580
nm0182809,William Cote,1968,\N,tt1302006
nm0184455,Scott Covert,\N,\N,tt4939232
nm0186883,Logan Crawford,\N,\N,tt1302006
nm0186963,Stacia Crawford,\N,\N,tt9024378
nm0195225,Kristin Condon,\N,\N,tt9058654
nm0202431,Cordula Daus,\N,\N,tt9249092
nm0202833,Benjamin David,\N,\N,tt7049682
nm0204945,Katy Davis,1985,\N,tt0385887
nm0209729,Andrea De Liberato,\N,\N,tt3512332
nm0209864,Luis De Los Santos,\N,\N,tt8962546
nm0210056,Emilio De Marchi,1960,\N,tt7278824
nm0210384,Raul de Molina,1959,\N,tt7050946
nm0214313,Renee Deemer,\N,\N,tt7725504
nm0214512,Daria Deflorian,\N,\N,tt9240148
nm0215194,Denice De Jon Nortez,\N,\N,tt9157656
nm0216038,Michael Dell'Orto,\N,\N,tt9025718
nm0220653,Vic Deruddere,\N,\N,tt8151874
nm0224256,Domenic Di Rosa,1979,\N,tt6980960
nm0228466,Elara Distler,1967,\N,tt8736632
nm0229362,Jeff Dlugolecki,\N,\N,tt5968394
nm0231953,Jewel Donohue,\N,\N,tt1302006
nm0232052,Terry Donald,\N,\N,tt3580748
nm0232131,Mackenzie Donaldson,\N,\N,tt6156584
nm0241412,Sandra Dumaresq,\N,\N,tt9023744
nm0244106,Sarah Durham,\N,\N,tt7211618
nm0248436,Margret Echeverria,1969,\N,tt5864650
nm0248675,Bradford Eckhart,\N,\N,tt7267530
nm0251215,Matthew Ehlers,\N,\N,tt8502944
nm0252067,Debra Eisenstadt,\N,\N,tt8816178
nm0253219,Ferenc Elek,1974,\N,tt3566610
nm0264265,Kati Eyssen,1983,\N,tt8898812
nm0265747,Dzhanik Fayziev,1961,\N,tt7176054
nm0267004,Tom Faraday,\N,\N,tt7238954
nm0277605,Dustin Fine,\N,\N,tt9029572
nm0280241,Gerald Fitzgerald,1959,\N,tt8824978
nm0280944,Daren Flam,\N,\N,tt8744784
nm0283454,Gerard Mannix Flynn,\N,\N,tt9149970
nm0285806,Natalie Ford,\N,\N,tt4908254
nm0286829,Michael Forsch,\N,\N,tt7287680
nm0290114,Clara Francis,\N,\N,tt7262192
nm0300086,Dan Gable,1948,\N,tt5689056
nm0303078,Patrick Gallo,1973,\N,tt1302006
nm0307727,Kenneth Garner,\N,\N,tt8811348
nm0309836,Joe Gatton,\N,\N,tt8954890
nm0310919,Richard Gayler,\N,\N,tt3425300
nm0314326,Wanja Gerick,1981,\N,tt8602664
nm0318324,Kristena Gilbreath,1975,\N,tt8747192
nm0321631,Emile Gladstone,\N,\N,tt4913966
nm0325382,Norman D. Golden II,1984,\N,tt6915876
nm0329143,Kelly L. Goodman,\N,\N,tt5869240
nm0330380,Larry Flash Jenkins,1955,\N,tt6217996
nm0331363,Carlos Gortari,\N,\N,tt8554462
nm0333951,C.J. Graham,\N,\N,tt8773662
nm0336693,Jacque Gray,\N,\N,tt3145630
nm0344740,Jannike Grut,\N,\N,tt9163400
nm0345478,Bobby Savoca-Guay,\N,\N,tt7801350
nm0349240,Andy Guthrie,1965,\N,tt9182720
nm0350436,E. Gary Gygax,1938,2008,tt2906216
nm0350672,Imola Gáspár,1955,\N,tt5880374
nm0354754,Trond Halbo,\N,\N,tt6490298
nm0358150,Sara Hamilton,\N,\N,tt7285192
nm0358240,Aleksandra Hamkalo,1988,\N,tt9249432
nm0362393,Roger Harding,\N,\N,tt9182720
nm0370140,Hillary Hawkins,\N,\N,tt3431584
nm0375325,Hans Heller,1957,\N,tt8947192
nm0382216,Christopher Heyerdahl,1963,\N,tt5924572
nm0382355,Cornelia Heyse,1957,\N,tt8739944
nm0394162,Faleena Hopkins,\N,\N,tt9035872
nm0397719,Julian Howarth,\N,\N,tt1630029
nm0398582,Marty Hrejsa,\N,\N,tt7060306
nm0399170,Erica Hubbard,1979,\N,tt9033386
nm0403828,Rebecca Husain,\N,\N,tt5206260
nm0406192,Iva Hüttnerová,1948,\N,tt8724244
nm0410924,Keisuke Ishida,\N,\N,tt5434562
nm0411408,Kenji Isomura,\N,\N,tt8178486
nm0417750,Vjekoslav Jankovic,1969,\N,tt5293310
nm0425329,Jeffery Thomas Johnson,\N,\N,tt7894510
nm0429699,Pia Jonsson,\N,\N,tt9151504
nm0434840,Heather Jocelyn Blair,\N,\N,tt1074206
nm0435493,Marla Kalin,\N,\N,tt8319290
nm0439374,Katrin Karisma,1947,\N,tt9028218
nm0440879,Yusof B. Mohd Kassim,\N,\N,tt9016040
nm0441085,George Katt,1975,\N,tt1302006
nm0443883,Michael Edo Keane,\N,\N,tt8794186
nm0444041,Tim Kearns,1980,\N,tt9093742
nm0444981,Jürgen Kehrer,1956,\N,tt9182024
nm0446486,Jim Kelly,1960,\N,tt9153376
nm0452627,Signe Kiesel,1973,\N,tt7931602
nm0452818,Pavel Kikincuk,1959,\N,tt8608822
nm0460557,Chad Knauer,\N,\N,tt8185512
nm0464084,Joe Kolias,\N,\N,tt8829004
nm0477465,Theo Kypri,\N,\N,tt7186588
nm0477577,Péter Kálloy Molnár,1970,\N,tt3566610
nm0480733,Brad LaFave,\N,\N,tt9241780
nm0481159,Ana Maria Lagasca,\N,\N,tt1074206
nm0482987,Larry Lamb,1947,\N,tt3554874
nm0491230,Guy Laurent,\N,\N,tt6556670
nm0493610,James Layton,1977,\N,tt5607976
nm0496847,Baayork Lee,1946,\N,tt8285862
nm0499429,Benjamin Legrand,1950,\N,tt6156584
nm0499795,Stefan Lehnen,1969,\N,tt8618370
nm0500610,David Leitch,\N,\N,tt6806448
nm0506989,Brooke Lewis,\N,\N,tt4461676
nm0507171,Emmanuel Lewis,1971,\N,tt8750320
nm0508956,Richard V. Licata,1948,\N,tt1302006
nm0512965,Emma Linley,\N,\N,tt5497752
nm0517576,James Logan,1970,\N,tt6217200
nm0518070,Kim-Ching Luk,\N,\N,tt8031894
nm0519346,AG. Longhurst,\N,\N,tt9246830
nm0522085,Manuel Lourenzo,1943,\N,tt6704898
nm0528613,April Lynn,\N,\N,tt8743422
nm0530760,Joseph M'Barek,1986,\N,tt8157074
nm0531869,Pamela MacDonald,1953,\N,tt9202550
nm0534062,Oengus MacNamara,\N,\N,tt5932728
nm0536663,Attila Magyar,1965,\N,tt3566610
nm0541141,Ricardo Mamood-Vega,1968,\N,tt4913966
nm0541859,Mira Mandoki,1989,\N,tt7715754
nm0543005,Tony Mann,\N,\N,tt8956836
nm0548857,Jackie Marks,\N,\N,tt8162810
