actor_lookup_id,actor_id,title_id
2690,nm0002694,tt4463894
3022,nm0003028,tt4761100
3819,nm0003832,tt9097694
6356,nm0006379,tt5293310
7616,nm0007664,tt4504044
8363,nm0008443,tt8962546
10890,nm0011104,tt0783640
11068,nm0011291,tt8810866
16452,nm0016941,tt8602664
16828,nm0017342,tt8951078
18809,nm0019413,tt8955372
18975,nm0019585,tt4532038
18975,nm0019585,tt1302006
19678,nm0020329,tt1190634
22114,nm0022894,tt8941926
29571,nm0030746,tt8724244
32587,nm0033894,tt1302006
34184,nm0035573,tt9088084
42842,nm0044645,tt6586090
43674,nm0045513,tt8618370
47174,nm0049205,tt7757688
52377,nm0054672,tt9072468
52577,nm0054878,tt7251762
58653,nm0061272,tt9022546
58944,nm0061578,tt8724244
62467,nm0065231,tt7267530
64925,nm0067804,tt4526862
73526,nm0076791,tt8883486
74312,nm0077622,tt8871394
76122,nm0079525,tt8055896
77816,nm0081303,tt3512332
83193,nm0086909,tt8724244
84122,nm0087877,tt9249092
84759,nm0088551,tt3209066
93161,nm0097371,tt1302006
96077,nm0100425,tt7060306
104782,nm0109626,tt8055896
104782,nm0109626,tt8056998
110190,nm0115341,tt8608822
117848,nm0123418,tt3246874
118468,nm0124069,tt5661882
119814,nm0125487,tt6076194
121745,nm0127536,tt7801894
124170,nm0130051,tt8743368
128110,nm0134187,tt5668174
128119,nm0134196,tt9042192
136709,nm0143270,tt8869662
138071,nm0144712,tt1302006
138183,nm0144830,tt9058140
139431,nm0146148,tt4566758
141019,nm0147818,tt8290452
142584,nm0149447,tt6139732
144719,nm0151684,tt7957314
147753,nm0154889,tt6158358
147814,nm0154951,tt5663910
148046,nm0155196,tt7768346
151903,nm0159318,tt9235038
152841,nm0160309,tt6156584
159978,nm0167878,tt8959924
162602,nm0170640,tt5968394
164445,nm0172566,tt4916630
164956,nm0173103,tt8746842
164956,nm0173103,tt8406744
165371,nm0173543,tt7801894
165371,nm0173543,tt7303530
170082,nm0178547,tt5848416
170869,nm0179366,tt9235038
171140,nm0179648,tt9024106
172966,nm0181570,tt9093094
173716,nm0182371,tt6107580
174119,nm0182809,tt1302006
175702,nm0184455,tt4939232
178027,nm0186883,tt1302006
178101,nm0186963,tt9024378
185935,nm0195225,tt9058654
192764,nm0202431,tt9249092
193150,nm0202833,tt7049682
195113,nm0204945,tt0385887
199620,nm0209729,tt3512332
199753,nm0209864,tt8962546
199932,nm0210056,tt7278824
200246,nm0210384,tt7050946
203965,nm0214313,tt7725504
204153,nm0214512,tt9240148
204799,nm0215194,tt9157656
205583,nm0216038,tt9025718
209933,nm0220653,tt8151874
213355,nm0224256,tt6980960
217330,nm0228466,tt8736632
218180,nm0229362,tt5968394
220623,nm0231953,tt1302006
220720,nm0232052,tt3580748
220796,nm0232131,tt6156584
229619,nm0241412,tt9023744
232180,nm0244106,tt7211618
236265,nm0248436,tt5864650
236491,nm0248675,tt7267530
238900,nm0251215,tt8502944
239710,nm0252067,tt8816178
240814,nm0253219,tt3566610
251286,nm0264265,tt8898812
252684,nm0265747,tt7176054
253884,nm0267004,tt7238954
263985,nm0277605,tt9029572
266483,nm0280241,tt8824978
267155,nm0280944,tt8744784
269550,nm0283454,tt9149970
271784,nm0285806,tt4908254
272738,nm0286829,tt7287680
275851,nm0290114,tt7262192
285302,nm0300086,tt5689056
288130,nm0303078,tt1302006
292505,nm0307727,tt8811348
294492,nm0309836,tt8954890
295534,nm0310919,tt3425300
298750,nm0314326,tt8602664
302521,nm0318324,tt8747192
305647,nm0321631,tt4913966
309184,nm0325382,tt6915876
312733,nm0329143,tt5869240
313876,nm0330380,tt6217996
314806,nm0331363,tt8554462
317240,nm0333951,tt8773662
319824,nm0336693,tt3145630
327379,nm0344740,tt9163400
328081,nm0345478,tt7801350
331627,nm0349240,tt9182720
332771,nm0350436,tt2906216
332998,nm0350672,tt5880374
336867,nm0354754,tt6490298
340045,nm0358150,tt7285192
340129,nm0358240,tt9249432
344070,nm0362393,tt9182720
351406,nm0370140,tt3431584
356345,nm0375325,tt8947192
362867,nm0382216,tt5924572
362998,nm0382355,tt8739944
374173,nm0394162,tt9035872
377562,nm0397719,tt1630029
378382,nm0398582,tt7060306
378922,nm0399170,tt9033386
383334,nm0403828,tt5206260
385578,nm0406192,tt8724244
390063,nm0410924,tt5434562
390525,nm0411408,tt8178486
396527,nm0417750,tt5293310
403628,nm0425329,tt7894510
407719,nm0429699,tt9151504
412587,nm0434840,tt1074206
413207,nm0435493,tt8319290
416869,nm0439374,tt9028218
418279,nm0440879,tt9016040
418480,nm0441085,tt1302006
421095,nm0443883,tt8794186
421242,nm0444041,tt9093742
422123,nm0444981,tt9182024
423550,nm0446486,tt9153376
429361,nm0452627,tt7931602
429542,nm0452818,tt8608822
436927,nm0460557,tt8185512
440286,nm0464084,tt8829004
452953,nm0477465,tt7186588
453059,nm0477577,tt3566610
456024,nm0480733,tt9241780
456428,nm0481159,tt1074206
458137,nm0482987,tt3554874
465907,nm0491230,tt6556670
468137,nm0493610,tt5607976
471190,nm0496847,tt8285862
473584,nm0499429,tt6156584
473932,nm0499795,tt8618370
474708,nm0500610,tt6806448
480696,nm0506989,tt4461676
480865,nm0507171,tt8750320
482523,nm0508956,tt1302006
486339,nm0512965,tt5497752
490665,nm0517576,tt6217200
491130,nm0518070,tt8031894
492327,nm0519346,tt9246830
494892,nm0522085,tt6704898
501049,nm0528613,tt8743422
503077,nm0530760,tt8157074
504128,nm0531869,tt9202550
506200,nm0534062,tt5932728
508659,nm0536663,tt3566610
512925,nm0541141,tt4913966
513607,nm0541859,tt7715754
514686,nm0543005,tt8956836
520194,nm0548857,tt8162810
523339,nm0552211,tt3291788
523473,nm0552355,tt9023894
529333,nm0558573,tt3145630
530581,nm0559882,tt9253672
530581,nm0559882,tt8599112
531668,nm0561019,tt8602664
533753,nm0563241,tt8496264
539037,nm0568876,tt9247314
544888,nm0575120,tt9244098
549241,nm0579728,tt6632666
549895,nm0580420,tt6156584
554528,nm0585319,tt6156584
560913,nm0592135,tt1321510
562048,nm0593330,tt9035872
562681,nm0594010,tt8490744
565586,nm0597094,tt7931602
565605,nm0597118,tt8610212
569165,nm0600872,tt7049682
570077,nm0601841,tt8943224
571777,nm0603642,tt9031048
572018,nm0603903,tt9023894
572769,nm0604699,tt5689056
575334,nm0607454,tt9149786
576517,nm0608718,tt9248912
577957,nm0610251,tt6156584
578774,nm0611126,tt8811474
581317,nm0613837,tt7941194
581379,nm0613900,tt8291806
581513,nm0614044,tt8178486
585824,nm0618650,tt6520522
588414,nm0621393,tt1302006
600807,nm0634512,tt5968394
600953,nm0634666,tt9202076
604684,nm0638611,tt8743182
605496,nm0639478,tt5932728
606567,nm0640648,tt5663910
607936,nm0642142,tt8726180
608341,nm0642575,tt9252046
608869,nm0643135,tt9041330
620844,nm0655749,tt5605556
621117,nm0656041,tt1764494
621946,nm0656929,tt0385887
621946,nm0656929,tt7286456
625045,nm0660202,tt8503572
626076,nm0661301,tt3178184
626266,nm0661504,tt9035872
627484,nm0662800,tt5331530
628774,nm0664168,tt0837563
629656,nm0665101,tt1302006
631455,nm0667001,tt7278120
639252,nm0675278,tt6808710
640724,nm0676851,tt6521194
641111,nm0677263,tt8880868
642689,nm0678944,tt5968394
645110,nm0681504,tt9093838
648818,nm0685421,tt7286456
651994,nm0688772,tt7706034
655156,nm0692118,tt9097792
663687,nm0701182,tt8396092
665611,nm0703253,tt8638192
666704,nm0704404,tt7281348
671851,nm0709904,tt9035872
672198,nm0710274,tt1865435
681950,nm0720629,tt8157074
683832,nm0722613,tt6856968
684019,nm0722815,tt8885808
688480,nm0727541,tt5880374
694560,nm0734039,tt7936092
709020,nm0749442,tt3963226
716011,nm0756830,tt6924650
718021,nm0758921,tt8956872
719460,nm0760457,tt9162784
719707,nm0760723,tt8612956
722761,nm0763969,tt6704898
723092,nm0764320,tt6980960
724850,nm0766173,tt8858936
731091,nm0772782,tt9027496
731183,nm0772880,tt8602664
735646,nm0777604,tt8618370
738162,nm0780324,tt8404680
740246,nm0782525,tt4463894
743249,nm0785726,tt1609991
745038,nm0787655,tt8941986
746151,nm0788855,tt8304386
751758,nm0794912,tt1302006
754304,nm0797627,tt6586090
759142,nm0802764,tt7725504
764164,nm0808055,tt7186588
764689,nm0808621,tt3170458
766642,nm0810722,tt7785420
767032,nm0811133,tt8938098
769207,nm0813438,tt6593706
771417,nm0815791,tt8724244
771712,nm0816100,tt3512332
784717,nm0829997,tt1074206
785142,nm0830441,tt0837563
790650,nm0836321,tt8879732
793214,nm0839057,tt9024106
810467,nm0857458,tt8811620
811322,nm0858361,tt5605556
812554,nm0859681,tt8729758
813608,nm0860791,tt9097620
819166,nm0866673,tt8724244
820950,nm0868587,tt7178984
821427,nm0869096,tt3195192
824987,nm0872876,tt7174660
828451,nm0876592,tt1302006
829646,nm0877852,tt8316568
831880,nm0880227,tt8746298
832577,nm0880974,tt9218782
832762,nm0881166,tt8493804
833505,nm0881961,tt8954954
843868,nm0893035,tt6037836
846421,nm0895752,tt9151382
846931,nm0896298,tt3231352
849100,nm0898595,tt4939232
849113,nm0898609,tt1302006
851476,nm0901110,tt6806448
857731,nm0907843,tt9163246
858582,nm0908740,tt8747798
859315,nm0909521,tt9265522
859667,nm0909889,tt6217996
861938,nm0912309,tt4708624
869421,nm0920246,tt1302006
869687,nm0920530,tt9086910
875745,nm0927014,tt5306938
880214,nm0931798,tt8416494
880588,nm0932194,tt6086316
880754,nm0932369,tt7177890
881195,nm0932842,tt8176462
881506,nm0933177,tt5928390
882676,nm0934428,tt9097694
885876,nm0937821,tt7187044
888097,nm0940242,tt6146586
888097,nm0940242,tt1302006
888224,nm0940373,tt8493804
889185,nm0941407,tt7238954
890732,nm0943066,tt7853636
890762,nm0943104,tt8032814
890878,nm0943233,tt1303678
891548,nm0943954,tt9039140
892709,nm0945206,tt9098754
893990,nm0946580,tt8493238
895822,nm0948580,tt1190634
895822,nm0948580,tt8110640
902766,nm0955995,tt8157074
903817,nm0957122,tt9159092
907898,nm0961550,tt3566610
909125,nm0962938,tt8310612
909558,nm0967546,tt9163520
912184,nm0971409,tt6528488
912560,nm0971890,tt8788462
913799,nm0973354,tt4521338
917148,nm0990600,tt6459958
922251,nm0996437,tt7931814
924412,nm0998822,tt3145630
924730,nm0999187,tt6924650
926142,nm10001607,tt8880116
926189,nm10001659,tt8880116
926321,nm10001809,tt8524160
926439,nm10001940,tt0870154
926605,nm10002128,tt7267530
926706,nm10002229,tt8773252
926706,nm10002229,tt8747072
926728,nm10002257,tt9093674
926761,nm10002293,tt8747126
926770,nm10002302,tt7721800
927315,nm10002907,tt8747696
927317,nm10002909,tt8747696
927319,nm10002910,tt8747696
927590,nm10003182,tt8319290
927963,nm10003558,tt8749132
928083,nm10003679,tt8747798
928303,nm10003899,tt8750320
928492,nm10004101,tt8822758
928495,nm10004107,tt8822758
929839,nm10005451,tt8742482
930093,nm10005705,tt8747798
930127,nm10005738,tt8743422
932581,nm10008157,tt9089450
933637,nm10009205,tt8316568
933640,nm10009208,tt7715070
933960,nm10009529,tt9084926
934826,nm1001035,tt6593706
934862,nm10010394,tt8404680
934929,nm10010459,tt7711350
934940,nm10010469,tt8880868
935019,nm10010548,tt9230266
935533,nm10011043,tt8407816
935545,nm10011055,tt8407816
935546,nm10011056,tt8407816
935878,nm10011389,tt4777008
936312,nm10011817,tt8113684
936405,nm10011902,tt8028628
937365,nm10012840,tt8191334
937367,nm10012843,tt8191334
937368,nm10012844,tt8191334
937369,nm10012845,tt8191334
937431,nm10012910,tt8742530
938639,nm10014090,tt9029478
939075,nm10014563,tt8743422
939942,nm10015484,tt8880116
939944,nm10015486,tt8880116
940173,nm10015720,tt5876688
940222,nm10015768,tt8726540
940225,nm10015770,tt8726540
940226,nm10015771,tt8726540
940328,nm10015881,tt8774202
940387,nm10015936,tt7204666
940683,nm1001625,tt8489900
944307,nm10019902,tt7177890
944835,nm10020435,tt9089556
944923,nm10020521,tt8816914
944987,nm10020586,tt0870154
945076,nm10020683,tt8785170
945116,nm10020720,tt5871388
945222,nm10020835,tt8406660
945336,nm10020964,tt7204666
945985,nm10021635,tt7798644
946516,nm10022206,tt0870154
946733,nm10022413,tt1302006
946733,nm10022413,tt8745960
946841,nm10022514,tt9184126
947195,nm10022856,tt7177890
947360,nm10023022,tt9256090
947628,nm10023312,tt7798644
948588,nm10024248,tt8774100
949145,nm10024787,tt7204666
949149,nm10024790,tt7204666
949163,nm10024803,tt8793206
949337,nm10024976,tt7926574
950192,nm10025798,tt8825110
950460,nm10026046,tt4183748
951268,nm10026817,tt7223138
951269,nm10026818,tt7223138
