director_id,primaryName,birthYear,deathYear,knownForTitles
nm0000005,Ingmar Bergman,1918,2007,tt0060827
nm0000008,Marlon Brando,1924,2004,tt0068646
nm0000019,Federico Fellini,1920,1993,tt0047528
nm0000024,John Gielgud,1904,2000,tt0071877
nm0000032,Charlton Heston,1923,2008,tt0070723
nm0000033,Alfred Hitchcock,1899,1980,tt0030341
nm0000036,Buster Keaton,1895,1966,tt0017925
nm0000037,Gene Kelly,1912,1996,tt0045152
nm0000040,Stanley Kubrick,1928,1999,tt0120663
nm0000041,Akira Kurosawa,1910,1998,tt0089881
nm0000056,Paul Newman,1925,2008,tt0061512
nm0000059,Laurence Olivier,1907,1989,tt0069281
nm0000071,James Stewart,1908,1997,tt0031679
nm0000076,François Truffaut,1932,1984,tt0053198
nm0000080,Orson Welles,1915,1985,tt0052311
nm0000090,Armin Mueller-Stahl,1930,\N,tt0765443
nm0000091,Gérard Pirès,1942,\N,tt0152930
nm0000095,Woody Allen,1935,\N,tt0091167
nm0000097,Pamela Anderson,1967,\N,tt0267913
nm0000099,Patricia Arquette,1968,\N,tt0108399
nm0000108,Luc Besson,1959,\N,tt0110413
nm0000110,Kenneth Branagh,1960,\N,tt0116477
nm0000111,Matthew Broderick,1962,\N,tt0086567
nm0000114,Steve Buscemi,1957,\N,tt0116282
nm0000116,James Cameron,1954,\N,tt0499549
nm0000123,George Clooney,1961,\N,tt1193138
nm0000127,Wes Craven,1939,2015,tt0111686
nm0000130,Jamie Lee Curtis,1958,\N,tt0086465
nm0000141,David Duchovny,1960,\N,tt0443701
nm0000142,Clint Eastwood,1930,\N,tt1205489
nm0000144,Cary Elwes,1962,\N,tt0093779
nm0000146,Ralph Fiennes,1962,\N,tt0108052
nm0000149,Jodie Foster,1962,\N,tt0075314
nm0000154,Mel Gibson,1956,\N,tt0104714
nm0000160,Ethan Hawke,1970,\N,tt0112471
nm0000165,Ron Howard,1954,\N,tt0367279
nm0000166,Helen Hunt,1963,\N,tt0119822
nm0000169,Tommy Lee Jones,1946,\N,tt2398231
nm0000171,Ashley Judd,1968,\N,tt0120679
nm0000177,Kevin Kline,1947,\N,tt0120891
nm0000180,David Lean,1908,1991,tt0056172
nm0000184,George Lucas,1944,\N,tt0082971
nm0000185,Dolph Lundgren,1957,\N,tt0093507
nm0000186,David Lynch,1946,\N,tt0098936
nm0000193,Demi Moore,1962,\N,tt0305357
nm0000199,Al Pacino,1940,\N,tt0070666
nm0000202,Ryan Phillippe,1974,\N,tt0202677
nm0000209,Tim Robbins,1958,\N,tt0094812
nm0000216,Arnold Schwarzenegger,1947,\N,tt0093894
nm0000217,Martin Scorsese,1942,\N,tt0075314
nm0000218,Kristin Scott Thomas,1960,\N,tt0280707
nm0000229,Steven Spielberg,1946,\N,tt0083866
nm0000231,Oliver Stone,1946,\N,tt0091763
nm0000240,Skeet Ulrich,1970,\N,tt0115963
nm0000247,John Woo,1946,\N,tt0104684
nm0000248,Edward D. Wood Jr.,1924,1978,tt0052077
nm0000259,Ginger Lynn,1962,\N,tt0395584
nm0000261,Karen Allen,1951,\N,tt0367882
nm0000264,Pedro Almodóvar,1949,\N,tt1189073
nm0000265,Robert Altman,1925,2006,tt0280707
nm0000269,Jean-Jacques Annaud,1943,\N,tt0091605
nm0000272,Fanny Ardant,1949,\N,tt0401711
nm0000273,Alan Arkin,1934,\N,tt0099487
nm0000274,David Arquette,1971,\N,tt0134084
nm0000275,Rosanna Arquette,1959,\N,tt0088680
nm0000276,Sean Astin,1971,\N,tt0167260
nm0000277,Richard Attenborough,1923,2014,tt0057115
nm0000278,Pernilla August,1958,\N,tt0121765
nm0000281,Scott Baio,1960,\N,tt0367279
nm0000286,Stephen Baldwin,1966,\N,tt0114814
nm0000291,Angela Bassett,1958,\N,tt0118884
nm0000294,Amanda Bearse,1958,\N,tt0092400
nm0000299,Michael Biehn,1956,\N,tt1077258
nm0000306,Brian Blessed,1936,\N,tt0080745
nm0000318,Tim Burton,1958,\N,tt0121164
nm0000320,Luis Buñuel,1900,1983,tt0068361
nm0000336,James Coburn,1928,2002,tt0054047
nm0000338,Francis Ford Coppola,1939,\N,tt0078788
nm0000339,Roger Corman,1926,\N,tt0091419
nm0000341,Michael Crichton,1942,2008,tt0117998
nm0000343,David Cronenberg,1943,\N,tt0094964
nm0000346,Macaulay Culkin,1980,\N,tt0099785
nm0000361,Brian De Palma,1940,\N,tt0094226
nm0000362,Danny DeVito,1944,\N,tt0094142
nm0000365,Julie Delpy,1969,\N,tt0112471
nm0000369,Matt Dillon,1964,\N,tt0129387
nm0000370,Walt Disney,1901,1966,tt0029583
nm0000373,Michael Dorn,1952,\N,tt0117731
nm0000379,Kirsten Dunst,1982,\N,tt1527186
nm0000381,Anthony Edwards,1962,\N,tt0817177
nm0000382,Atom Egoyan,1960,\N,tt0120255
nm0000386,Roland Emmerich,1955,\N,tt0120685
nm0000387,Robert Englund,1947,\N,tt0329101
nm0000389,Emilio Estevez,1962,\N,tt0088847
nm0000399,David Fincher,1962,\N,tt2267998
nm0000401,Laurence Fishburne,1961,\N,tt0234215
nm0000406,John Ford,1894,1973,tt0031971
nm0000408,Jonathan Frakes,1952,\N,tt0117731
nm0000418,Danny Glover,1946,\N,tt0104714
nm0000419,Jean-Luc Godard,1930,\N,tt0053472
nm0000425,Peter Greenaway,1942,\N,tt0097108
nm0000431,Taylor Hackford,1944,\N,tt0084434
nm0000436,Curtis Hanson,1945,2016,tt0104389
