director_lookup_id,title_id,director_id
10889,tt0010323,nm0927468
14180,tt0013442,nm0003638
16151,tt0015324,nm0000036
16504,tt0015648,nm0001178
18084,tt0017136,nm0000485
18913,tt0017925,nm0000036
18914,tt0017925,nm0115669
19463,tt0018455,nm0003638
20304,tt0019254,nm0003433
21655,tt0020530,nm0000320
21761,tt0020629,nm0587277
23040,tt0021814,nm0115218
23117,tt0021884,nm0001843
23344,tt0022100,nm0000485
24190,tt0022913,nm0115218
26788,tt0025316,nm0001008
27541,tt0026029,nm0000033
27661,tt0026138,nm0001843
28346,tt0026778,nm0939992
30676,tt0028950,nm0719756
31366,tt0029583,nm0183183
31367,tt0029583,nm0789313
31368,tt0029583,nm0668998
31369,tt0029583,nm0359457
31370,tt0029583,nm0414144
31647,tt0029843,nm0002031
31648,tt0029843,nm0445033
31760,tt0029947,nm0001328
32187,tt0030341,nm0000033
33274,tt0031381,nm0281808
33275,tt0031381,nm0002030
33276,tt0031381,nm0939992
33603,tt0031679,nm0001008
33906,tt0031971,nm0000406
34079,tt0032138,nm0281808
34080,tt0032138,nm0002030
34081,tt0032138,nm0503777
34418,tt0032455,nm0414144
34420,tt0032455,nm0766402
34421,tt0032455,nm0359610
34422,tt0032455,nm0272568
34423,tt0032455,nm0789313
34424,tt0032455,nm0359457
34425,tt0032455,nm0527217
34427,tt0032455,nm0035899
34428,tt0032455,nm0730860
34429,tt0032455,nm1968474
34532,tt0032551,nm0000406
34582,tt0032599,nm0001328
34905,tt0032904,nm0002030
34911,tt0032910,nm0272568
34913,tt0032910,nm0789313
34914,tt0032910,nm0414144
34915,tt0032910,nm0527217
34916,tt0032910,nm0730860
34917,tt0032910,nm0455741
34990,tt0032976,nm0000033
35529,tt0033467,nm0000080
35634,tt0033563,nm0035899
35635,tt0033563,nm0272568
35636,tt0033563,nm0414144
35637,tt0033563,nm0455741
35638,tt0033563,nm0730860
35639,tt0033563,nm0789313
35640,tt0033563,nm0254675
35973,tt0033870,nm0001379
36370,tt0034248,nm0000033
36633,tt0034492,nm0035899
36634,tt0034492,nm0359457
36635,tt0034492,nm0373871
36636,tt0034492,nm0730860
36637,tt0034492,nm0766402
36638,tt0034492,nm0942687
36740,tt0034583,nm0002031
37646,tt0035423,nm0003506
38631,tt0036342,nm0000033
38916,tt0036613,nm0001008
39084,tt0036775,nm0000697
39184,tt0036868,nm0943758
39332,tt0037008,nm0695937
39718,tt0037382,nm0001328
39901,tt0037558,nm0000180
40250,tt0037884,nm0000697
40492,tt0038109,nm0000033
40757,tt0038355,nm0001328
41065,tt0038650,nm0001008
41216,tt0038787,nm0000033
42144,tt0039628,nm0780833
42209,tt0039689,nm0869664
43149,tt0040506,nm0001379
43166,tt0040522,nm0001120
43406,tt0040746,nm0000033
43560,tt0040897,nm0001379
44358,tt0041546,nm0357607
44797,tt0041959,nm0715346
45275,tt0042192,nm0000581
45422,tt0042332,nm0527217
45423,tt0042332,nm0314671
45424,tt0042332,nm0414144
45651,tt0042546,nm0467396
45998,tt0042876,nm0000041
46147,tt0043014,nm0000697
