title_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,2016942
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,Action;Crime;Drama,9.0,1985076
tt1375666,movie,Inception,Inception,0,2010,\N,148,Action;Adventure;Sci-Fi,8.8,1764998
tt0137523,movie,Fight Club,Fight Club,0,1999,\N,139,Drama,8.8,1613595
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,\N,154,Crime;Drama,8.9,1574405
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,Drama;Romance,8.8,1536844
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,Adventure;Drama;Fantasy,8.8,1452140
tt0133093,movie,The Matrix,The Matrix,0,1999,\N,136,Action;Sci-Fi,8.7,1446917
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,\N,201,Action;Adventure;Drama,8.9,1435502
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,Crime;Drama,9.2,1381979
tt0944947,tvSeries,Game of Thrones,Game of Thrones,0,2011,\N,57,Action;Adventure;Drama,9.5,1374709
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,Action;Thriller,8.4,1341208
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,\N,179,Adventure;Drama;Fantasy,8.7,1297657
tt0114369,movie,Se7en,Se7en,0,1995,\N,127,Crime;Drama;Mystery,8.6,1232861
tt0816692,movie,Interstellar,Interstellar,0,2014,\N,169,Adventure;Drama;Sci-Fi,8.6,1227869
tt0172495,movie,Gladiator,Gladiator,0,2000,\N,155,Action;Adventure;Drama,8.5,1165767
tt1853728,movie,Django Unchained,Django Unchained,0,2012,\N,165,Drama;Western,8.4,1162728
tt0372784,movie,Batman Begins,Batman Begins,0,2005,\N,140,Action;Adventure;Thriller,8.3,1153208
tt0848228,movie,The Avengers,The Avengers,0,2012,\N,143,Action;Adventure;Sci-Fi,8.1,1132698
tt0903747,tvSeries,Breaking Bad,Breaking Bad,0,2008,2013,49,Crime;Drama;Thriller,9.5,1132376
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,Action;Adventure;Fantasy,8.6,1082853
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,\N,118,Crime;Drama;Thriller,8.6,1082325
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,\N,153,Adventure;Drama;War,8.3,1074913
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,\N,169,Drama;War,8.6,1063168
tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,Biography;Drama;History,8.9,1041152
tt0407887,movie,The Departed,The Departed,0,2006,\N,151,Crime;Drama;Thriller,8.5,1036719
tt0482571,movie,The Prestige,The Prestige,0,2006,\N,130,Drama;Mystery;Sci-Fi,8.5,1025036
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,Action;Adventure;Fantasy,8.8,1012669
tt0499549,movie,Avatar,Avatar,0,2009,\N,162,Action;Adventure;Fantasy,7.8,1009184
tt0209144,movie,Memento,Memento,0,2000,\N,113,Mystery;Thriller,8.5,999431
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,0,2013,\N,180,Biography;Comedy;Crime,8.2,986719
tt0120689,movie,The Green Mile,The Green Mile,0,1999,\N,189,Crime;Drama;Fantasy,8.5,965913
tt1130884,movie,Shutter Island,Shutter Island,0,2010,\N,138,Mystery;Thriller,8.1,964408
tt0169547,movie,American Beauty,American Beauty,0,1999,\N,122,Drama,8.4,961502
tt0071562,movie,The Godfather: Part II,The Godfather: Part II,0,1974,\N,202,Crime;Drama,9.0,957012
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,Action;Adventure;Fantasy,8.0,939501
tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,\N,132,Action;Drama;Sci-Fi,8.2,926122
tt0120586,movie,American History X,American History X,0,1998,\N,119,Crime;Drama,8.5,919568
tt0120338,movie,Titanic,Titanic,0,1997,\N,194,Drama;Romance,7.8,918968
tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,Adventure;Comedy;Sci-Fi,8.5,893610
