writer_id,primaryName,birthYear,deathYear,knownForTitles
nm0000004,John Belushi,1949,1982,tt0080455
nm0000005,Ingmar Bergman,1918,2007,tt0060827
nm0000019,Federico Fellini,1920,1993,tt0047528
nm0000024,John Gielgud,1904,2000,tt0071877
nm0000027,Alec Guinness,1914,2000,tt0050212
nm0000031,Katharine Hepburn,1907,2003,tt0061735
nm0000032,Charlton Heston,1923,2008,tt0070723
nm0000036,Buster Keaton,1895,1966,tt0017925
nm0000040,Stanley Kubrick,1928,1999,tt0120663
nm0000041,Akira Kurosawa,1910,1998,tt0089881
nm0000046,Vivien Leigh,1913,1967,tt0031381
nm0000048,Peter Lorre,1904,1964,tt0022100
nm0000050,Groucho Marx,1890,1977,tt0023969
nm0000051,James Mason,1909,1984,tt0084855
nm0000054,Marilyn Monroe,1926,1962,tt0045810
nm0000064,Edward G. Robinson,1893,1973,tt0070723
nm0000076,François Truffaut,1932,1984,tt0053198
nm0000080,Orson Welles,1915,1985,tt0052311
nm0000090,Armin Mueller-Stahl,1930,\N,tt0765443
nm0000091,Gérard Pirès,1942,\N,tt0152930
nm0000092,John Cleese,1939,\N,tt0095159
nm0000095,Woody Allen,1935,\N,tt0091167
nm0000100,Rowan Atkinson,1955,\N,tt0118689
nm0000101,Dan Aykroyd,1952,\N,tt0118747
nm0000105,Adrienne Barbeau,1945,\N,tt0080749
nm0000108,Luc Besson,1959,\N,tt0110413
nm0000116,James Cameron,1954,\N,tt0499549
nm0000118,John Carpenter,1948,\N,tt0093777
nm0000120,Jim Carrey,1962,\N,tt0315327
nm0000122,Charles Chaplin,1889,1977,tt0027977
nm0000127,Wes Craven,1939,2015,tt0111686
nm0000131,John Cusack,1966,\N,tt0119229
nm0000138,Leonardo DiCaprio,1974,\N,tt0993846
nm0000148,Harrison Ford,1942,\N,tt0106977
nm0000155,Whoopi Goldberg,1955,\N,tt0088939
nm0000159,Teri Hatcher,1964,\N,tt0410975
nm0000160,Ethan Hawke,1970,\N,tt0112471
nm0000162,Anne Heche,1969,\N,tt0119008
nm0000175,Stephen King,1947,\N,tt0083767
nm0000180,David Lean,1908,1991,tt0056172
nm0000184,George Lucas,1944,\N,tt0082971
nm0000186,David Lynch,1946,\N,tt0098936
nm0000188,Steve Martin,1945,\N,tt0102250
nm0000189,Jenny McCarthy,1972,\N,tt0455967
nm0000191,Ewan McGregor,1971,\N,tt2763304
nm0000195,Bill Murray,1950,\N,tt1156398
nm0000196,Mike Myers,1963,\N,tt0118655
nm0000200,Bill Paxton,1955,2017,tt0090605
nm0000205,Parker Posey,1968,\N,tt0359013
nm0000219,Steven Seagal,1952,\N,tt0105690
nm0000229,Steven Spielberg,1946,\N,tt0083866
nm0000230,Sylvester Stallone,1946,\N,tt0089927
nm0000231,Oliver Stone,1946,\N,tt0091763
nm0000233,Quentin Tarantino,1963,\N,tt3460252
nm0000235,Uma Thurman,1970,\N,tt0378194
nm0000236,Jennifer Tilly,1958,\N,tt0387575
nm0000241,Jean-Claude Van Damme,1960,\N,tt0097659
nm0000245,Robin Williams,1951,2014,tt0119217
nm0000247,John Woo,1946,\N,tt0104684
nm0000248,Edward D. Wood Jr.,1924,1978,tt0052077
nm0000251,Timothy Dowling,1973,\N,tt0430922
nm0000255,Ben Affleck,1972,\N,tt0119217
nm0000259,Ginger Lynn,1962,\N,tt0395584
nm0000263,Kirstie Alley,1951,\N,tt0097778
nm0000264,Pedro Almodóvar,1949,\N,tt1189073
nm0000265,Robert Altman,1925,2006,tt0280707
nm0000269,Jean-Jacques Annaud,1943,\N,tt0091605
nm0000272,Fanny Ardant,1949,\N,tt0401711
nm0000278,Pernilla August,1958,\N,tt0121765
nm0000297,Tom Berenger,1949,\N,tt0091763
nm0000312,Amy Brenneman,1964,\N,tt0113277
nm0000316,Mel Brooks,1926,\N,tt0395251
nm0000320,Luis Buñuel,1900,1983,tt0068361
nm0000321,Gabriel Byrne,1950,\N,tt0146675
nm0000331,Chevy Chase,1943,\N,tt0097958
nm0000334,Yun-Fat Chow,1955,\N,tt0190332
nm0000338,Francis Ford Coppola,1939,\N,tt0078788
nm0000341,Michael Crichton,1942,2008,tt0117998
nm0000343,David Cronenberg,1943,\N,tt0094964
nm0000345,Billy Crystal,1948,\N,tt0122933
nm0000349,Joan Cusack,1962,\N,tt1659337
nm0000355,Anthony Daniels,1946,\N,tt0076759
nm0000356,Sybil Danning,1952,\N,tt0373883
nm0000361,Brian De Palma,1940,\N,tt0094226
nm0000365,Julie Delpy,1969,\N,tt0112471
nm0000368,Laura Dern,1967,\N,tt2305051
nm0000373,Michael Dorn,1952,\N,tt0117731
nm0000376,Fran Drescher,1957,\N,tt0088258
nm0000382,Atom Egoyan,1960,\N,tt0120255
nm0000385,Sam Elliott,1944,\N,tt0277434
nm0000386,Roland Emmerich,1955,\N,tt0120685
nm0000389,Emilio Estevez,1962,\N,tt0088847
nm0000390,Joe Eszterhas,1944,\N,tt0114436
nm0000402,Carrie Fisher,1956,2016,tt0076759
nm0000406,John Ford,1894,1973,tt0031971
nm0000410,Stephen Fry,1957,\N,tt0371724
nm0000413,Janeane Garofalo,1964,\N,tt0382932
nm0000416,Terry Gilliam,1940,\N,tt0088846
nm0000419,Jean-Luc Godard,1930,\N,tt0053472
nm0000425,Peter Greenaway,1942,\N,tt0097108
nm0000427,Pam Grier,1949,\N,tt0228333
nm0000431,Taylor Hackford,1944,\N,tt0084434
nm0000436,Curtis Hanson,1945,2016,tt0104389
nm0000454,Dennis Hopper,1936,2010,tt0090756
nm0000455,John Hughes,1950,2009,tt0091042
nm0000461,Michael Ironside,1950,\N,tt0100802
nm0000463,Famke Janssen,1964,\N,tt0185371
nm0000464,Jim Jarmusch,1953,\N,tt1714915
nm0000465,Ron Jeremy,1953,\N,tt0124819
nm0000466,Jean-Pierre Jeunet,1953,\N,tt0344510
nm0000479,Walter Koenig,1936,\N,tt0084726
nm0000481,Alice Krige,1954,\N,tt0117731
nm0000483,Christopher Lambert,1957,\N,tt0091203
nm0000485,Fritz Lang,1890,1976,tt0017136
nm0000487,Ang Lee,1954,\N,tt0190332
nm0000490,Spike Lee,1957,\N,tt0097216
nm0000491,John Leguizamo,1964,\N,tt0203009
nm0000499,Bai Ling,1966,\N,tt1121931
nm0000500,Richard Linklater,1960,\N,tt2209418
nm0000511,Shirley MacLaine,1934,\N,tt0098384
nm0000513,William H. Macy,1950,\N,tt0118749
nm0000514,Michael Madsen,1957,\N,tt0105236
nm0000517,Terrence Malick,1943,\N,tt0077405
nm0000519,David Mamet,1947,\N,tt0104348
nm0000520,Michael Mann,1943,\N,tt0104691
